title	url	category	excerpt	published_at	published_at_detail	thumbnail_url	tags_json	tags_sc	datafile_object_url
네이버피셜 앰배서더 1기를 모집합니다	https://fficial.naver.com/contentDetail/129	커리어	네이버의 브랜드 스토리와 20대를 연결할 당신!	2025-04-22	2025-04-22	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250422112729_007d9748be7af5e90f192ddbfcc6429a.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
배송 2.0	https://fficial.naver.com/contentDetail/111	서비스	지금배송부터 희망일배송까지, 네이버배송의 새로운 챕터	2025-03-24	2025-03-24	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250320170457_e9da0090da7a860b894bc47d88ba9485.jpg			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
네이버플러스 스토어의 '킥'은?	https://fficial.naver.com/contentDetail/110	서비스	잘 팔리는 쇼핑 앱이 되기 위해 네이버가 집중한 3가지	2025-03-20	2025-03-20	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250319170026_5b9f6daf7e0285c51877701d35c71ac5.jpg			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
네이버 사옥 1층의 변신, 비포 앤 애프터	https://fficial.naver.com/contentDetail/109	기획; 디자인	사람을 잇는 공간, 커넥트 라운지의 탄생	2025-03-17	2025-03-17	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250317114246_7a1854c8b6cf69748664e9333571b7e1.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
“네이버, 지금도 재택근무 해?”	https://fficial.naver.com/contentDetail/99	기업문화; 네이버생활	어디서든 자유롭게 일합니다	2025-03-07	2025-03-07	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250311140926_23546ede0605060aab117bb84e57998a.jpg			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
신입사원 다이어리	https://fficial.naver.com/contentDetail/117	기업문화; 네이버생활	네이버 입사 첫 달 미리 경험하기	2025-03-07	2025-03-07	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250311140422_136c2f9d6d495d47699aab936245d9c4.jpg			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
네이버, 어떻게 입사했냐면요	https://fficial.naver.com/contentDetail/112	커리어; 기업문화	네이버 신입사원이 말하는 입사 비결	2025-03-07	2025-03-07	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250311135237_fd60914c929734879f429e3782a3fa79.jpg			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
네이버가 1,000개의 맛집을 섭외한 이유	https://fficial.naver.com/contentDetail/108	디자인; 마케팅	클립 마케팅 캠페인 ‘클파원 갓 어워즈’ 비하인드	2025-02-20	2025-02-20	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250213174910_6a5b9190cb6ca1c1f336f9047927f413.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
10년 후, 온라인 광고 시장은 어떻게 변해있을까?	https://fficial.naver.com/contentDetail/107	인사이트; 마케팅	리더 인터뷰 ③ : 봐야 하는 광고에서 보고 싶은 광고로	2025-02-27	2025-02-27	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250227142700_3abde33d9477b9ec891c2ace88c77ec8.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
10년 후, 콘텐츠 세상은 어떻게 달라질까?	https://fficial.naver.com/contentDetail/106	인사이트; 서비스	리더 인터뷰 ② : 꾸준히 유효할 콘텐츠 문법을 찾아서	2025-02-18	2025-02-18	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250220155951_cc61bf0c151cef8102dfeab67e5aa4f2.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
10년 후엔 어떤 기술이 세상을 바꿀까?	https://fficial.naver.com/contentDetail/113	인사이트; 테크	리더 인터뷰 ① : 공간에도 지능이 생긴다면	2025-02-11	2025-02-11	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250211093458_cd1abf37bb0b113683d72e7dd331b5bd.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
미국 고등학생들이 밴드를 쓴다고요?	https://fficial.naver.com/contentDetail/102	서비스; 마케팅	600만 사용자를 만든 밴드의 미국 시장 도전기	2025-02-03	2025-02-03	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250203141451_4f9e9d7c7171f9684898e1be568dd138.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
조언 상점에 오신 것을 환영합니다	https://fficial.naver.com/contentDetail/103	기획; 서비스	네이버 엑스퍼트가 단골손님을 만드는 비결	2025-01-24	2025-01-24	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250124171420_b7c84044030f55c5e024aaffda8b13c3.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
탐색을 설계하는 사람들 ②	https://fficial.naver.com/contentDetail/100	기획; 서비스	‘그냥’ 찾게 되는 앱이 되려면	2025-01-20	2025-01-20	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250117174422_6bcf2bcd68d514bbad339f270361b017.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
탐색을 설계하는 사람들 ①	https://fficial.naver.com/contentDetail/104	기획; 서비스	새로워진 네이버앱 피드, 그 탄생의 과정을 파헤치다	2025-01-13	2025-01-13	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250113151526_b370527e98dd20dc6ba00f06cf138957.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
200명이 써 내려간 2,000일의 이야기	https://fficial.naver.com/contentDetail/92	브랜딩	1784 THE TESTBED 책은 어떻게 만들어졌을까?	2024-12-26	2024-12-26	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20241227220949_18e63e03aad8a5594c78026a3444c50e.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
스무 살 넘은 서비스가 20대와 어울리는 방법	https://fficial.naver.com/contentDetail/93	기획; 서비스	블로그・카페・지식iN은 어떻게 '요즘 20대'를 사로잡았나	2024-12-16	2024-12-16	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20241211114549_12f0b97bf6c4e6f0caf5c32d1beed516.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
사용자의 마음을 움직이는 광고의 비밀	https://fficial.naver.com/contentDetail/98	마케팅	네이버앱 마케터의 광고 캠페인 제작 비하인드	2024-12-05	2024-12-05	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20241205130438_c5aa0d5b45d5b09b2af7959aaac03df6.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
쥬니버 세대가 네이버에 입사했다	https://fficial.naver.com/contentDetail/91	인사이트; 서비스	‘쓰던’ 사람이 ‘만드는’ 사람이 된다는 것	2024-11-18	2024-11-18	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20241115170556_5cb4d227e03a523ee1b492e695d65c2d.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
매력적인 브랜디드 콘텐츠의 조건	https://fficial.naver.com/contentDetail/90	인사이트; 브랜딩	네이버피셜 에디터의 솔루션이 되는 콘텐츠 기획법	2024-11-18	2024-11-18	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20241115101631_f4735c8d646efc6d42f8d8dcdaaeda4f.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
내 야구팀을 찾아서	https://fficial.naver.com/contentDetail/89	서비스	‘야알못' 에디터의 프로야구 오픈톡 순방기	2024-10-24	2024-10-24	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20241024181502_77757101325d98fb57c837cc75720b71.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
네이버 경력사원이 다 대답해 드립니다	https://fficial.naver.com/contentDetail/88	커리어	나 혼자 몰래 듣고 싶은 네이버 경력 이직 성공기	2024-10-14	2024-10-14	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20241115181847_22d89371a852d20f3346c78fcba26acc.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
네이버 면접위원이 다 대답해 드립니다	https://fficial.naver.com/contentDetail/87	커리어	검색해도 안 나오는 면접위원의 속마음	2024-10-08	2024-10-08	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20240926114543_027d62632b7c92811f737b118606e3e1.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
네이버 신입사원이 다 대답해 드립니다	https://fficial.naver.com/contentDetail/86	커리어	2024 네이버 신입사원에게 듣는 입사 경험담	2024-09-26	2024-09-26	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20241007142514_d24a784b0277ac16d19ebac9ae663cfb.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
똑똑하게 여행하는 체리피커들을 위한 안내서	https://fficial.naver.com/contentDetail/85	기획; 서비스	여행상품 기획자의 네이버여행 활용법	2024-09-25	2024-09-25	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20240924104500_914b2308089cfb02de3bf56fb898b1da.jpg			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
쇼핑, 고도화를 기다리며	https://fficial.naver.com/contentDetail/84	커리어; 테크	12년 차 쇼핑 검색 개발자의 변함 없는 항해	2024-09-02	2024-09-02	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20240823172302_5ff961b69049d420bb7b72b9e3cc0412.jpg			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
서버 밭의 파수꾼	https://fficial.naver.com/contentDetail/83	커리어; 테크	데이터센터 운영자의 우직한 10년 외길	2024-08-19	2024-08-19	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20240807140918_9dc89c3af605e7a3152046d4d2a234e8.jpg			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
14년 간의 로고 플레이	https://fficial.naver.com/contentDetail/101	커리어; 브랜딩	스페셜로고 디자이너의 파란만장 대서사시	2024-07-29	2024-07-29	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20241118200649_83240adfcc1471a6033d2c3a5cf702e7.jpg			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
담당자 등판! 치지직 팝업 스토어 비하인드	https://fficial.naver.com/contentDetail/81	디자인; 마케팅	더현대서울에서 밤새운 후기	2024-06-14	2024-06-14	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20240510135812_d02c9af3087734d6328682e5bde4935a.jpg			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
치지직은 어쩌다 ‘치지직’이 됐을까?	https://fficial.naver.com/contentDetail/76	디자인; 브랜딩	브랜드 디자이너가 밝히는 브랜딩 뒷이야기	2024-05-20	2024-05-20	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20240510135652_3f02b5405766346806b9f7906c4b6ad9.jpg			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
이제는 말할 수 있다! 치지직 베타 일지	https://fficial.naver.com/contentDetail/80	서비스	치지직 기획자와 개발자가 툭 까놓고 이야기합니다	2024-05-13	2024-05-13	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20240510121716_af6031364f9762c9e07acaf53e83d103.jpg			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
네이버 인플루언서의 '뒷'이야기	https://fficial.naver.com/contentDetail/74	서비스	인플루언서 뒤엔 인플루언서팀이 있다	2024-06-03	2024-06-03	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20240603155128_54b9cf235ecf67026fb67a706c22d318.jpg			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
창작 도구의 성지를 찾아갔습니다	https://fficial.naver.com/contentDetail/78	테크	네이버 스마트스튜디오 인터뷰	2024-04-22	2024-04-22	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20240409202325_c96bd85809db97a0f4ff6a1f2e8d5ffd.jpg			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
오늘은 어디서 일해요?	https://fficial.naver.com/contentDetail/77	인사이트	네이버 사람들의 일하는 공간	2024-04-01	2024-04-01	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20240314180418_5d47804b035764a4fabad20762684204.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
